assetId,assetName,commodityType,mass,volume,food,health,happiness,wealth,science,culture
1,Fish,NaturalMaterial,0,0,1,0,0,0,0,0
2,Crab,NaturalMaterial,0,0,0,1,0,0,0,0
3,Pig,NaturalMaterial,0,0,1,0,0,0,0,0
4,Cattle,NaturalMaterial,0,0,1,0,0,0,0,0
5,Rice,NaturalMaterial,0,0,1,0,0,0,0,0
6,Wheat,NaturalMaterial,0,0,1,0,0,0,0,0
7,Corn,NaturalMaterial,0,0,1,0,0,0,0,0
8,Incense,NaturalMaterial,0,0,0,0,1,0,0,0
9,Spice,NaturalMaterial,0,0,0,0,1,0,0,0
10,Gold,NaturalMaterial,0,0,0,0,1,0,0,0
11,Silver,NaturalMaterial,0,0,0,0,1,0,0,0
12,Gem,NaturalMaterial,0,0,0,0,1,0,0,0
13,Copper,NaturalMaterial,0,0,0,0,1,0,0,0
14,Iron,NaturalMaterial,0,0,0,0,1,0,0,0
